id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	math.ac	-0.208	-0.8703	3	5	20	18	2008.2778
2	math.ag	0.0221	-0.5213	3	20	141	194	2008.9639
3	math.ap	0.8281	-0.1159	1	11	91	111	2012.1622
4	math.at	-0.3812	0.8782	2	5	12	8	2011.875
5	math.ca	0.3896	-0.092	1	12	38	47	2013.5745
6	math.co	-0.6957	-0.044	4	15	92	104	2008.4327
7	math.ct	-0.4556	-0.1516	5	5	15	11	2010.8182
8	math.cv	0.9312	-0.2281	1	7	24	32	2008.2812
9	math.dg	0.2223	-0.2174	3	15	70	54	2009.5
10	math.ds	0.0233	0.1794	2	12	39	41	2011.122
11	math.fa	0.2265	0.3685	4	17	103	148	2008.1081
12	math.gm	1.1335	0.5561	1	1	1	1	2005
13	math.gr	-0.105	0.4166	2	14	90	74	2010.0676
14	math.gt	-0.2751	0.502	2	12	74	33	2011.5758
15	math.ho	1.1212	-0.1331	1	4	13	8	2015.375
16	math.it	-1.2017	0.3306	4	1	1	1	2014
17	math.kt	-0.4085	0.6496	2	11	92	46	2013.3478
18	math.lo	-0.1539	-0.6227	3	2	2	1	1998
19	math.mg	0.258	0.1125	4	14	59	47	2011.6596
20	math.mp	0.7643	0.2937	1	19	133	136	2012.5882
21	math.na	0.511	-0.3912	1	11	68	184	2014.7065
22	math.nt	-0.1089	-0.4185	3	11	38	70	2009.8857
23	math.oa	-0.1203	0.6307	2	17	169	164	2008.6098
24	math.oc	0.1355	-0.771	3	5	18	19	2008.7368
25	math.pr	-0.4662	0.2764	4	15	74	60	2012.9833
26	math.qa	-0.643	-0.2824	5	12	113	115	2011.9739
27	math.ra	-0.8648	-0.5533	5	9	84	62	2009.4516
28	math.rt	-0.6882	-0.5091	5	12	127	99	2011.9697
29	math.sg	0.4584	0.3546	2	6	15	14	2015.2857
30	math.sp	0.9192	0.0532	1	13	55	42	2015.0476
31	math.st	-1.1679	0.32	4	3	5	7	2011.2857
